ID,"AY423387.1 HIV-1 isolate 671-00T36 from Netherlands, complete genome","AY423388.1 Hydra viridis non-muscle actin mRNA, partial cds","AB253429.1 Human immunodeficiency virus 1 proviral DNA, complete genome, clone: p92UG037A40","AF004456.1 Venezuelan equine encephalitis virus strain 33571 polyprotein gene, partial cds","K03455.1 Human immunodeficiency virus type 1 (HXB2), complete genome; HIV1/HTLV-III/LAV reference genome"
"AY423387.1 HIV-1 isolate 671-00T36 from Netherlands, complete genome",0.0,11.0,10.0,13.0,11.0
"AY423388.1 Hydra viridis non-muscle actin mRNA, partial cds",11.0,0.0,12.0,13.0,10.0
"AB253429.1 Human immunodeficiency virus 1 proviral DNA, complete genome, clone: p92UG037A40",10.0,12.0,0.0,12.0,180.0
"AF004456.1 Venezuelan equine encephalitis virus strain 33571 polyprotein gene, partial cds",13.0,13.0,12.0,0.0,17.0
"K03455.1 Human immunodeficiency virus type 1 (HXB2), complete genome; HIV1/HTLV-III/LAV reference genome",11.0,10.0,180.0,17.0,0.0
